en; English; English;
pl; Polish; Polski;
de; German; Deutsch;
fr; French; Français;
it; Italian; Italiano;
es; Spanish; Español;
uk; Ukrainian; Українська;
ro; Romanian; Română;
nl; Dutch; Nederlands;
el; Greek; Ελληνικά;
hu; Hungarian; Magyar;
pt; Portuguese; Português;
cs; Czech; Čeština;
sv; Swedish; Svenska;
sr; Serbian; Српски;
ru; Russian; Русский;
zh; Mandarin Chinese; 中文;
hi; Hindi; हिन्दी;
ar; Modern Standard Arabic; العربية;
bn; Bengali; বাংলা;
id; Indonesian; Bahasa Indonesia;
ur; Urdu; اردو;
ja; Japanese; 日本語;
pcm; Nigerian Pidgin; Naijá;
arz; Egyptian Arabic; اللغة العربية المصرية;
mr; Marathi; मराठी;
vi; Vietnamese; Tiếng Việt;
te; Telugu; తెలుగు;
sw; Swahili; Kiswahili;
ha; Hausa; Hausa;
tr; Turkish; Türkçe;
pnb; Western Punjabi; پنجابی;
tl; Tagalog; Tagalog;
ta; Tamil; தமிழ்;
yue; Yue Chinese; 粵語;
wuu; Wu Chinese; 吴语;
fa; Persian; فارسی;
ko; Korean; 한국어;
am; Amharic; አማርኛ;
th; Thai; ไทย
